Type [validation category](max length)                TableName.ColumnName
bool                                                  AssignmentProductAgreement.Sys_Deactivated
bool                                                  AssignmentProductAgreement.Sys_Historic
bool                                                  AssignmentProductAgreement.Sys_Incomplete
int                                                   AssignmentProjectPeriodInvoiceReserve.AssignmentProjectPeriodInvoiceReserveId
string?                                               AssignmentProjectPeriodInvoiceReserve.AssignmentIdExternal
string?                                               AssignmentProjectPeriodInvoiceReserve.ProjectPeriodIdExternal
int                                                   AssignmentProjectPeriodInvoiceReserve.AssignmentId
decimal?                                              AssignmentProjectPeriodInvoiceReserve.CoverageRateFixedPrice
decimal?                                              AssignmentProjectPeriodInvoiceReserve.CoverageRateNotFixedPrice
decimal                                               AssignmentProjectPeriodInvoiceReserve.InvoiceReserveAdjustmentAmount
string? [MultilineText](200)                          AssignmentProjectPeriodInvoiceReserve.InvoiceReserveAdjustmentComment
int                                                   AssignmentProjectPeriodInvoiceReserve.ProjectPeriodId
bool                                                  AssignmentProjectPeriodInvoiceReserve.Sys_Deactivated
bool                                                  AssignmentProjectPeriodInvoiceReserve.Sys_Historic
bool                                                  AssignmentProjectPeriodInvoiceReserve.Sys_Incomplete
InvoiceReserveBilledPriceCalculationEnum?             AssignmentProjectPeriodInvoiceReserve.Enum_InvoiceReserveBilledPriceCalculationId
InvoiceReserveFixedPriceCalculationEnum?              AssignmentProjectPeriodInvoiceReserve.Enum_InvoiceReserveFixedPriceCalculationId
int                                                   AssignmentPurchaseAgreement.AssignmentPurchaseAgreementId
string?                                               AssignmentPurchaseAgreement.AssignmentIdExternal
int                                                   AssignmentPurchaseAgreement.AssignmentId
byte                                                  AssignmentPurchaseAgreement.Priority
short                                                 AssignmentPurchaseAgreement.PurchaseAgreementId
bool                                                  AssignmentPurchaseAgreement.Sys_Deactivated
bool                                                  AssignmentPurchaseAgreement.Sys_Historic
bool                                                  AssignmentPurchaseAgreement.Sys_Incomplete
int                                                   AssignmentServiceObject.AssignmentServiceObjectId
string?                                               AssignmentServiceObject.AssignmentIdExternal
string?                                               AssignmentServiceObject.ServiceObjectIdExternal
bool                                                  AssignmentServiceObject.Sys_Deactivated
bool                                                  AssignmentServiceObject.Sys_Historic
bool                                                  AssignmentServiceObject.Sys_Incomplete
int                                                   Attachment.AttachmentId
string?                                               Attachment.AttachmentIdExternal
string?                                               Attachment.ProductIdExternal
short?                                                Attachment.AttachmentCategoryId
string? (500)                                         Attachment.AzureBlobId
string [MultilineText](1024)                          Attachment.Description
string? (64)                                          Attachment.FileChecksum
DateTime?                                             Attachment.FileLastModifiedUTC
string (250)                                          Attachment.FileName
int?                                                  Attachment.FileSizeBytes
bool                                                  Attachment.Internal
int?                                                  Attachment.ProductId
short                                                 Attachment.RevisionNumber
bool                                                  Attachment.ServiceContractCopyToAssignment
short?                                                Attachment.SourceExternalSystemId
string? (250)                                         Attachment.SourceType
bool                                                  Attachment.SyncToMobileDevice
bool                                                  Attachment.Sys_Deactivated
bool                                                  Attachment.Sys_Historic
bool                                                  Attachment.Sys_Incomplete
string? (500)                                         Attachment.Uri
bool                                                  Attachment.UseCommonBlobStore
DateTime?                                             Attachment.WriteTokenValidUntilUTC
IndustryTypeEnum                                      Attachment.Enum_IndustryTypeId
MOM_TypeEnum?                                         Attachment.Enum_MOM_TypeId
bool                                                  Attachment.Ext_Sys_Deactivated
string                                                Attachment.Ext_ExternalId
string                                                Attachment.Ext_In_Error_MsgNO
string                                                Attachment.Ext_In_Error_MsgEN
string                                                Attachment.Ext_In_Error_TraceId
string                                                Attachment.Ext_In_Error_TechDetail
string                                                Attachment.Ext_In_Error_FixLink
bool                                                  Attachment.Ext_In_Error_SetOK
DateTime                                              Attachment.Ext_In_LastSyncUTC
string                                                Attachment.Ext_Out_Error_MsgNO
string                                                Attachment.Ext_Out_Error_MsgEN
string                                                Attachment.Ext_Out_Error_TraceId
string                                                Attachment.Ext_Out_Error_TechDetail
string                                                Attachment.Ext_Out_Error_FixLink
bool                                                  Attachment.Ext_Out_Error_SetOK
DateTime                                              Attachment.Ext_Out_LastSyncUTC
--> AssignmentAttachment[]                            Attachment.AssignmentAttachments
--> ExternalSystemAttachment[]                        Attachment.ExternalSystemAttachments
short                                                 AttachmentCategory.AttachmentCategoryId
string [MultilineText](100)                           AttachmentCategory.Description
bool                                                  AttachmentCategory.Sys_Deactivated
bool                                                  AttachmentCategory.Sys_Historic
bool                                                  AttachmentCategory.Sys_Incomplete
AttachmentCategoryEnum                                AttachmentCategory.Enum_AttachmentCategoryId
int                                                   BoligmappaAttachment.BoligmappaAttachmentId
int?                                                  BoligmappaAttachment.BoligmappaFileId
string (50)                                           BoligmappaAttachment.BoligmappaNumber
bool                                                  BoligmappaAttachment.Sys_Deactivated
bool                                                  BoligmappaAttachment.Sys_Historic
bool                                                  BoligmappaAttachment.Sys_Incomplete
string (200)                                          BoligmappaAttachment.UploadedByBmUserId
DateTime?                                             BoligmappaAttachment.UploadedUTC
--> Attachment                                        BoligmappaAttachment.Attachment
short                                                 BoligmappaTokens.BoligmappaTokensId
string?                                               BoligmappaTokens.AccessToken
DateTime?                                             BoligmappaTokens.AccessTokenExpiresUTC
int                                                   BoligmappaTokens.CwUserId
string?                                               BoligmappaTokens.RefreshToken
DateTime?                                             BoligmappaTokens.RefreshTokenExpiresUTC
bool                                                  BoligmappaTokens.Sys_Deactivated
bool                                                  BoligmappaTokens.Sys_Historic
bool                                                  BoligmappaTokens.Sys_Incomplete
DateTime?                                             BoligmappaTokens.TokensLastRefreshedUTC
int                                                   Budget.BudgetId
